dateRep,day,month,year,cases,deaths,geoId,continentExp,countryterritoryCode,popData2018,countriesAndTerritories
02/03/2020,2,3,2020,2,0,ID,Asia,IDN,267663435,Indonesia
01/03/2020,1,3,2020,0,0,ID,Asia,IDN,267663435,Indonesia
29/02/2020,29,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
28/02/2020,28,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
27/02/2020,27,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
26/02/2020,26,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
25/02/2020,25,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
24/02/2020,24,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
23/02/2020,23,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
22/02/2020,22,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
21/02/2020,21,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
20/02/2020,20,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
19/02/2020,19,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
18/02/2020,18,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
17/02/2020,17,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
16/02/2020,16,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
15/02/2020,15,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
14/02/2020,14,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
13/02/2020,13,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
12/02/2020,12,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
11/02/2020,11,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
10/02/2020,10,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
09/02/2020,9,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
08/02/2020,8,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
07/02/2020,7,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
06/02/2020,6,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
05/02/2020,5,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
04/02/2020,4,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
03/02/2020,3,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
02/02/2020,2,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
01/02/2020,1,2,2020,0,0,ID,Asia,IDN,267663435,Indonesia
31/01/2020,31,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
30/01/2020,30,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
29/01/2020,29,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
28/01/2020,28,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
27/01/2020,27,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
26/01/2020,26,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
25/01/2020,25,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
24/01/2020,24,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
23/01/2020,23,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
22/01/2020,22,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
21/01/2020,21,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
20/01/2020,20,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
19/01/2020,19,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
18/01/2020,18,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
17/01/2020,17,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
16/01/2020,16,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
15/01/2020,15,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
14/01/2020,14,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
13/01/2020,13,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
12/01/2020,12,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
11/01/2020,11,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
10/01/2020,10,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
09/01/2020,9,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
08/01/2020,8,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
07/01/2020,7,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
06/01/2020,6,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
05/01/2020,5,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
04/01/2020,4,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
03/01/2020,3,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
02/01/2020,2,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
01/01/2020,1,1,2020,0,0,ID,Asia,IDN,267663435,Indonesia
31/12/2019,31,12,2019,0,0,ID,Asia,IDN,267663435,Indonesia
