dateRep,day,month,year,cases,deaths,geoId,continentExp,countryterritoryCode,popData2018,countriesAndTerritories
20/04/2020,20,4,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
19/04/2020,19,4,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
18/04/2020,18,4,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
17/04/2020,17,4,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
16/04/2020,16,4,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
15/04/2020,15,4,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
14/04/2020,14,4,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
13/04/2020,13,4,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
12/04/2020,12,4,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
11/04/2020,11,4,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
10/04/2020,10,4,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
09/04/2020,9,4,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
08/04/2020,8,4,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
07/04/2020,7,4,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
06/04/2020,6,4,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
05/04/2020,5,4,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
04/04/2020,4,4,2020,2,0,NC,Oceania,NCL,284060,New_Caledonia
03/04/2020,3,4,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
02/04/2020,2,4,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
01/04/2020,1,4,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
31/03/2020,31,3,2020,1,0,NC,Oceania,NCL,284060,New_Caledonia
30/03/2020,30,3,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
29/03/2020,29,3,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
28/03/2020,28,3,2020,0,0,NC,Oceania,NCL,284060,New_Caledonia
27/03/2020,27,3,2020,1,0,NC,Oceania,NCL,284060,New_Caledonia
26/03/2020,26,3,2020,5,0,NC,Oceania,NCL,284060,New_Caledonia
25/03/2020,25,3,2020,2,0,NC,Oceania,NCL,284060,New_Caledonia
24/03/2020,24,3,2020,2,0,NC,Oceania,NCL,284060,New_Caledonia
23/03/2020,23,3,2020,1,0,NC,Oceania,NCL,284060,New_Caledonia
22/03/2020,22,3,2020,2,0,NC,Oceania,NCL,284060,New_Caledonia
21/03/2020,21,3,2020,2,0,NC,Oceania,NCL,284060,New_Caledonia
