countryterritoryCode,continentExp,countriesAndTerritories,dateRep,total_cases,cases,new_cases_smoothed,total_deaths,deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,popData2019,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
JPN,Asia,Japan,2020-01-22,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-01-23,2,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-01-24,2,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-01-25,2,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-01-26,4,2,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-01-27,4,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-01-28,7,3,1,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-01-29,7,0,1,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-01-30,11,4,1,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-01-31,15,4,2,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,-7818,-6,-6,-63
JPN,Asia,Japan,2020-02-01,20,5,3,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-02,20,0,2,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-03,20,0,2,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-04,22,2,2,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-05,23,1,2,,,,0,0,0,,,,,,,,,,,,,4,4,0,0,,,,,people tested,,,,,,,,,,,,,,19,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-06,23,0,2,,,,0,0,0,,,,,,,,,,,,,23,19,0,0,,,,,people tested,,,,,,,,,,,,,,19,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-07,23,0,1,,,,0,0,0,,,,,,,,,,,,,32,9,0,0,,,,,people tested,,,,,,,,,,,,,,19,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-08,24,1,1,,,,0,0,0,,,,,,,,,,,,,36,4,0,0,,,,,people tested,,,,,,,,,,,,,,19,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-09,24,0,1,,,,0,0,0,,,,,,,,,,,,,46,10,0,0,,,,,people tested,,,,,,,,,,,,,,19,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-10,26,2,1,,,,0,0,0,,,,,,,,,,,,,58,12,0,0,,,,,people tested,,,,,,,,,,,,,,19,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-11,27,1,1,,,,0,0,0,,,,,,,,,,,,,62,4,0,0,,,,,people tested,,,,,,,,,,,,,,19,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-12,28,1,1,,,,0,0,0,,,,,,,,,,,,,72,10,0,0,10,0,0,14,people tested,,,,,,,,,,,,,,19,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-13,33,5,1,1,1,,0,0,0,0,0,,,,,,,,,,,88,16,0,0,9,0,0,6,people tested,,,,,,,,,,,,,,19,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-14,43,10,3,1,0,,0,0,0,0,0,,,,,,,,,,,131,43,0,0,14,0,0,5,people tested,,,,,,,,,,,,,,19,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-15,54,11,4,1,0,,0,0,0,0,0,,,,,,,,,,,217,86,0,0,26,0,0,6,people tested,,,,,,,,,,,,,,19,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-16,60,6,5,1,0,,0,0,0,0,0,,,,,,,,,,,282,65,0,0,34,0,0,7,people tested,,,,,,,,,,,,,,19,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-17,67,7,6,1,0,,1,0,0,0,0,,,,,,,,,,,395,113,0,0,48,0,0,8,people tested,,,,,,,,,,,,,,19,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-18,79,12,7,2,1,0,1,0,0,0,0,0,,,,,,,,,,404,9,0,0,49,0,0,7,people tested,,,,,,,,,,,,,,19,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-19,85,6,8,2,0,0,1,0,0,0,0,0,,,,,,,,,,475,71,0,0,58,0,0,7,people tested,,,,,,,,,,,,,,19,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-20,95,10,9,2,0,0,1,0,0,0,0,0,,,,,,,,,,565,90,0,0,68,0,0,8,people tested,,,,,,,,,,,,,,25,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-21,112,17,10,2,0,0,1,0,0,0,0,0,,,,,,,,,,650,85,0,0,74,0,0,8,people tested,,,,,,,,,,,,,,25,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-22,137,25,12,2,0,0,1,0,0,0,0,0,1,,,,,,,,,746,96,0,0,76,0,0,6,people tested,,,,,,,,,,,,,,25,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-23,149,12,13,2,0,0,1,0,0,0,0,0,1,,,,,,,,,785,39,0,0,72,0,0,6,people tested,,,,,,,,,,,,,,25,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-24,160,11,13,2,0,0,1,0,0,0,0,0,1,,,,,,,,,889,104,0,0,71,0,0,5,people tested,,,,,,,,,,,,,,25,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-25,173,13,13,3,1,0,1,0,0,0,0,0,1,,,,,,,,,933,44,0,0,76,0,0,6,people tested,,,,,,,,,,,,,,34,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-26,192,19,15,3,0,0,2,0,0,0,0,0,1,,,,,,,,,1101,168,0,0,89,0,0,6,people tested,,,,,,,,,,,,,,34,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-27,218,26,18,4,1,0,2,0,0,0,0,0,1,,,,,,,,,1252,151,0,0,98,0,0,6,people tested,,,,,,,,,,,,,,34,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-28,236,18,18,5,1,0,2,0,0,0,0,0,1,,,,,,,,,1382,130,0,0,105,0,0,6,people tested,,,,,,,,,,,,,,34,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-02-29,245,9,15,6,1,1,2,0,0,0,0,0,1,,,,,,,,,1560,178,0,0,116,0,0,8,people tested,,,,,,,,,,,,,,34,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,-13283,-5,-4,-107
JPN,Asia,Japan,2020-03-01,259,14,16,6,0,1,2,0,0,0,0,0,1,,,,,,,,,1656,96,0,0,124,0,0,8,people tested,,,,,,,,,,,,,,34,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-02,278,19,17,6,0,1,2,0,0,0,0,0,1,,,,,,,,,1727,71,0,0,120,0,0,7,people tested,,,,,,,,,,,,,,44,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-03,298,20,18,6,0,0,2,0,0,0,0,0,1,,,,,,,,,1880,153,0,0,135,0,0,8,people tested,,,,,,,,,,,,,,44,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-04,333,35,20,7,1,1,3,0,0,0,0,0,2,,,,,,,,,5820,3940,0,0,674,0,0,34,people tested,,,,,,,,,,,,,,44,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-05,365,32,21,7,0,0,3,0,0,0,0,0,2,,,,,,,,,6519,699,0,0,752,0,0,36,people tested,,,,,,,,,,,,,,44,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-06,420,55,26,7,0,0,3,0,0,0,0,0,2,,,,,,,,,7072,553,0,0,813,0,0,31,people tested,,,,,,,,,,,,,,44,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-07,466,46,32,7,0,0,4,0,0,0,0,0,2,,,,,,,,,7219,147,0,0,808,0,0,26,people tested,,,,,,,,,,,,,,44,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-08,499,33,34,8,1,0,4,0,0,0,0,0,2,,,,,,,,,7329,110,0,0,810,0,0,24,people tested,,,,,,,,,,,,,,44,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-09,527,28,36,10,2,1,4,0,0,0,0,0,2,,,,,,,,,8643,1314,0,0,988,0,0,28,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-10,585,58,41,13,3,1,5,0,0,0,0,0,2,,,,,,,,,9067,424,0,0,1027,0,0,25,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-11,640,55,44,15,2,1,5,0,0,0,0,0,1,,,,,,,,,9248,181,0,0,490,0,0,11,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-12,696,56,47,19,4,2,6,0,0,0,0,0,1,,,,,,,,,11103,1855,0,0,655,0,0,14,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-13,733,37,45,21,2,2,6,0,0,0,0,0,1,,,,,,,,,11962,859,0,0,699,0,0,16,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-14,795,62,47,22,1,2,6,0,0,0,0,0,1,,,,,,,,,12069,107,0,0,693,0,0,15,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-15,826,31,47,24,2,2,7,0,0,0,0,0,1,,,,,,,,,12111,42,0,0,683,0,0,15,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-16,843,17,45,30,6,3,7,0,0,0,0,0,1,,,,,,,,,14194,2083,0,0,793,0,0,18,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-17,893,50,44,30,0,2,7,0,0,0,0,0,1,,,,,,,,,14397,203,0,0,761,0,0,17,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-18,928,35,41,32,2,2,7,0,0,0,0,0,1,,,,,,,,,,,,,985,0,0,24,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-19,968,40,39,33,1,2,8,0,0,0,0,0,1,,,,,,,,,17887,3490,0,0,969,0,0,25,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-20,1022,54,41,34,1,2,8,0,0,0,0,0,1,,,,,,,,,18006,119,0,0,863,0,0,21,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-21,1059,37,38,36,2,2,8,0,0,0,0,0,1,,,,,,,,,18138,132,0,0,867,0,0,23,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-22,1104,45,40,40,4,2,9,0,0,0,0,0,1,,,,,,,,,18194,56,0,0,869,0,0,22,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-23,1144,40,43,41,1,2,9,0,0,0,0,0,2,,,,,,,,,22056,3862,0,0,1123,0,0,26,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-24,1217,73,46,42,1,2,10,1,0,0,0,0,2,,,,,,,,,,,,,1142,0,0,25,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-25,1314,97,55,45,3,2,11,1,0,0,0,0,2,,,,,,,,,22730,674,0,0,941,0,0,17,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-26,1416,102,64,47,2,2,11,1,1,0,0,0,2,,,,,,,,,24535,1805,0,0,950,0,0,15,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-27,1530,114,73,53,6,3,12,1,1,0,0,0,2,,,,,,,,,25977,1442,0,0,1139,0,0,16,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-28,1728,198,96,56,3,3,14,2,1,0,0,0,2,,,,,,,,,26273,296,0,0,1162,0,0,12,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-29,1907,179,115,63,7,3,15,1,1,1,0,0,2,,,,,,,,,26479,206,0,0,1184,0,0,10,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-30,2001,94,122,65,2,3,16,1,1,1,0,0,2,,,,,,,,,29960,3481,0,0,1129,0,0,9,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-03-31,2255,254,148,67,2,4,18,2,1,1,0,0,2,,,,,,,,,31874,1914,0,0,1354,0,0,9,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,-18115,-5,-4,-145
JPN,Asia,Japan,2020-04-01,2535,280,174,72,5,4,20,2,1,1,0,0,2,,,,,,,,,,,,,1641,0,0,9,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-02,2818,283,200,75,3,4,23,2,2,1,0,0,2,,,,,,,,,36559,4685,0,0,1718,0,0,9,people tested,,,,,,,,,,,,,,41,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-03,3154,336,232,81,6,4,25,3,2,1,0,0,2,,,,,,,,,39864,3305,0,0,1984,0,0,9,people tested,,,,,,,,,,,,,,44,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-04,3525,371,257,87,6,4,28,3,2,1,0,0,2,,,,,,,,,40135,271,0,0,1980,0,0,8,people tested,,,,,,,,,,,,,,44,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-05,3876,351,281,93,6,4,31,3,2,1,0,0,2,,,,,,,,,40353,218,0,0,1982,0,0,7,people tested,,,,,,,,,,,,,,44,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-06,4110,234,301,96,3,4,33,2,2,1,0,0,2,,,,,,,,,48229,7876,0,0,2610,0,0,9,people tested,,,,,,,,,,,,,,44,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-07,4485,375,319,98,2,4,36,3,3,1,0,0,2,,,,,,,,,52773,4544,0,0,2986,0,0,9,people tested,,,,,,,,,,,,,,45,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-08,5020,535,355,105,7,5,40,4,3,1,0,0,2,,,,,,,,,54156,1383,0,0,2848,0,0,8,people tested,,,,,,,,,,,,,,45,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-09,5614,594,399,113,8,5,45,5,3,1,0,0,2,,,,,,,,,56997,2841,0,0,2920,0,0,7,people tested,,,,,,,,,,,,,,45,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-10,6250,636,442,125,12,6,50,5,4,1,0,0,2,,,,,,,,,62386,5389,1,0,3217,0,0,7,people tested,,,,,,,,,,,,,,45,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-11,6951,701,489,138,13,7,56,6,4,1,0,0,2,,,,,,,,,64030,1644,1,0,3414,0,0,7,people tested,,,,,,,,,,,,,,45,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-12,7473,522,514,147,9,8,60,4,4,1,0,0,1,,,,,,,,,64087,57,1,0,3391,0,0,7,people tested,,,,,,,,,,,,,,45,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-13,7773,300,523,156,9,9,62,2,4,1,0,0,1,,,,,,,,,73339,9252,1,0,3587,0,0,7,people tested,,,,,,,,,,,,,,45,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-14,8277,504,542,170,14,10,66,4,4,1,0,0,1,,,,,,,,,81594,8255,1,0,4117,0,0,8,people tested,,,,,,,,,,,,,,45,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-15,8835,558,545,186,16,12,71,4,4,1,0,0,1,,,,,,,,,82287,693,1,0,4019,0,0,7,people tested,,,,,,,,,,,,,,45,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-16,9398,563,541,204,18,13,75,5,4,2,0,0,1,,,,,,,,,87612,5325,1,0,4374,0,0,8,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-17,9958,560,530,217,13,13,80,4,4,2,0,0,1,,,,,,,,,91761,4149,1,0,4196,0,0,8,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-18,10548,590,514,236,19,14,85,5,4,2,0,0,1,,,,,,,,,92765,1004,1,0,4105,0,0,8,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-19,10914,366,492,255,19,15,88,3,4,2,0,0,1,,,,,,,,,95718,2953,1,0,4519,0,0,9,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-20,11258,344,498,275,20,17,90,3,4,2,0,0,1,,,,,,,,,102534,6816,1,0,4171,0,0,8,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-21,11641,383,481,303,28,19,93,3,4,2,0,0,1,,,,,,,,,108076,5542,1,0,3783,0,0,8,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-22,12037,396,457,323,20,20,97,3,4,3,0,0,1,,,,,,,,,112491,4415,1,0,4315,0,0,9,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-23,12469,432,439,351,28,21,100,3,4,3,0,0,1,,,,,,,,,117840,5349,1,0,4318,0,0,10,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-24,12854,385,414,360,9,20,103,3,3,3,0,0,1,,,,,,,,,123027,5187,1,0,4467,0,0,11,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-25,13186,332,377,379,19,20,106,3,3,3,0,0,1,,,,,,,,,124277,1250,1,0,4502,0,0,12,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-26,13405,219,356,395,16,20,108,2,3,3,0,0,1,,,,,,,,,125413,1136,1,0,4242,0,0,12,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-27,13576,171,331,417,22,20,109,1,3,3,0,0,1,,,,,,,,,133958,8545,1,0,4489,0,0,14,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-28,13860,284,317,436,19,19,111,2,3,3,0,0,1,,,5514,44,,,,,137202,3244,1,0,4161,0,0,13,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-29,14076,216,291,454,18,19,113,2,2,4,0,0,1,,,,,,,,,138081,879,1,0,3656,0,0,13,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-04-30,14284,208,259,481,27,19,115,2,2,4,0,0,1,,,,,,,,,146207,8126,1,0,4052,0,0,16,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,-19042,-4,-1,-153
JPN,Asia,Japan,2020-05-01,14558,274,243,510,29,21,117,2,2,4,0,0,1,,,,,,,,,153027,6820,1,0,4286,0,0,18,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-05-02,14861,303,239,536,26,22,119,2,2,4,0,0,1,,,,,,,,,153907,880,1,0,4233,0,0,18,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-05-03,15061,200,237,560,24,24,121,2,2,4,0,0,1,,,,,,,,,154919,1012,1,0,4215,0,0,18,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-05-04,15229,168,236,582,22,24,122,1,2,5,0,0,1,,,,,,,,,156251,1332,1,0,3185,0,0,14,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-05-05,15354,125,213,593,11,22,123,1,2,5,0,0,1,,,,,,,,,157820,1569,1,0,2945,0,0,14,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-05-06,15455,101,197,605,12,22,124,1,2,5,0,0,0,,,,,,,,,158267,447,1,0,2884,0,0,15,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-05-07,15553,98,181,617,12,19,125,1,1,5,0,0,0,341,3,4436,36,,,,,171272,13005,1,0,3581,0,0,20,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-05-08,15640,87,155,634,17,18,126,1,1,5,0,0,0,,,,,,,,,181952,10680,1,0,4132,0,0,27,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
JPN,Asia,Japan,2020-05-09,15755,115,128,654,20,17,126,1,1,5,0,0,0,,,,,,,,,184217,2265,1,0,4330,0,0,34,people tested,,,,,,,,,,,,,,47,124612530,348,48,27,18,39002,,79,6,11,34,,13,85,1,,,,
